author_name,rating,published_at,text,author_image_url
AA' FAJAR,5.0,sebulan lalu,Boommmmmmmm bngtt rekk jemban wong Jember wong semua karna cinta wajib ke gacoan jembr ini siiiiii tempat luassss aduhaiii bagtt dehhh pokoknyaaaaaaaaa manusia mana yang gasuka gacoannn sinii majuuuuuuuuu #gaongariskeras🔥❤️🔥❤️🔥❤️🔥☝️🌹🥰🌷💞 …,https://lh3.googleusercontent.com/a/ACg8ocKI4UmGv7_V0Qrx-xgqVDBN312EYZZkixkgUtXKGhHUMoH-ZQ=w36-h36-p-rp-mo-br100
Yunita tri Agustin,5.0,2 bulan lalu,"Tempatnya lebih luas,pelayanan baik...tidak pernah mengecewakan selalu bikin ketagihan",https://lh3.googleusercontent.com/a-/ALV-UjWaK0jSKR9gR8BBX9SH8ECMYw-zt0HURWEkDxXJK1gocDfCpzak=w36-h36-p-rp-mo-br100
Eri Andriani,3.0,2 bulan lalu,"Toiletnya ga bersih, sementara waktu tunggu yg lama kdng bikin kita Harus ke toilet yg aaauuuh ah....",https://lh3.googleusercontent.com/a-/ALV-UjVbWGJdDtcShimSkZzuYoOHlX3-y9wjmlskwdrnf3YDxgvwJ-7aPw=w36-h36-p-rp-mo-ba3-br100
Igun LD,5.0,4 bulan lalu,"setelah sekian lama, gacoan berpindah ke tempat yg lebih luas
sama dengan gacoan di kota lain, tempatnya luas, memang agak sedikit panas dan ketika pesenan selesai, nama yg dipanggil kurang kedengaran jelas, saran untuk …",https://lh3.googleusercontent.com/a-/ALV-UjX_NsCpAzfOQUQoBJOgD5FneT_iJayswK4MDPUks60un58w_JISbg=w36-h36-p-rp-mo-ba3-br100
Nuraura Nafisah,5.0,3 bulan lalu,"Sukaa bgt sama gacoan yang baruuu,pelayanan cepat, tempat bersihh akan selalu langganann",https://lh3.googleusercontent.com/a-/ALV-UjXJ609dAYtv3elUvG5wH6pNZRPEiFxmkMF9BUm6fw6Dxz7sBSyp=w36-h36-p-rp-mo-br100
06_Annisa Sholehah,5.0,seminggu lalu,pelayanannyaaaa bagussssss bngt enakk ramahhhh bestt gacoann bestt🥳💗💗💗💗💗💗💗💗💗😍😍😍😍💗💗💗💗💗 …,https://lh3.googleusercontent.com/a/ACg8ocKSR3hg4Z8kOABsF-AJV6lNtI8cFUJAyqFikIuiKHNf9IdRRQ=w36-h36-p-rp-mo-br100
fhify weary,5.0,3 bulan lalu,"Makannya bikin nagih pool. Enak banget..
Pelayanannya ramah banget apalagi yang namanya mas adit baik dan sopan banget terimakasih mas adit",https://lh3.googleusercontent.com/a-/ALV-UjVKOR3qYhf-H1JN1nE3SfQnylpMnujxn_GpqtsBod0g3a6bg-RX=w36-h36-p-rp-mo-ba2-br100
Febrin Khoirunnisak,5.0,sebulan lalu,"Makanan enak, tempatnya makin luas daripada yang di sumatra duluu, sippp",https://lh3.googleusercontent.com/a/ACg8ocKJmZOS9GRcINCZowTBnoC5Km0jEm7ga1Sfi5BawzJYe-_LNw=w36-h36-p-rp-mo-br100
Aura Earlita,5.0,4 bulan lalu,"Sangat suka dengan pelayanan nya, makanan nya enak + pelayanan nya ramah
Saya mendapatkan nomer meja dengan cepat",https://lh3.googleusercontent.com/a/ACg8ocIpufuLEEVNzrDktfuiVbc9mo1uWyTPHX7QBvhuxaAGSuJ2zg=w36-h36-p-rp-mo-br100
shkyel 21,5.0,3 bulan lalu,"seruu bngtt luass jauh lebih luas daripada yg lamaa, trus makanannya jg lebih cepet datengnya✋🏻😆🤍🤍 …",https://lh3.googleusercontent.com/a-/ALV-UjXkD_Ji0xLWpX5YTL15jF76VAfyUYBS9bvken4fC3NA9CTsCtmv=w36-h36-p-rp-mo-br100
Rahma Aulia,5.0,4 bulan lalu,"Gacoan jember resto baru the best, bener2 konsisten pelayannya cepat dan bagus apalagi MAS RAGIL, super duper ramah, baru dateng langsung dapet kursi, sekarang bisa pesan dimeja gaperlu antri berdiri dikasir lebih nyaman
Sukses gacoan jember",https://lh3.googleusercontent.com/a-/ALV-UjUnRH7EyL26Xnpgh_Z5mX6-0ewexSfSqTqHDg9kbRSqSa8uhsQ=w36-h36-p-rp-mo-br100
Muhammad Didit Dermawan,4.0,sebulan lalu,"tempat baru lebih luas dan nyaman, pelayanan baik, pesanan cepat jika tidak ramai, cenderung ramai",https://lh3.googleusercontent.com/a/ACg8ocK-APMd2U7-CrzTemqRLVz7LxVUFgWxruAuktS1lyAeFTLW3g=w36-h36-p-rp-mo-br100
Galih RiskyS,5.0,2 bulan lalu,"Tempatnya nyaman, bagus, luas, & bersih. makannya enak2 semua, minumannya jg mantap.",https://lh3.googleusercontent.com/a/ACg8ocJ9KvQ7zWfC0R6pl67EhTuVb2fxRLXuzPw2fJlDGclrBKhxPw=w36-h36-p-rp-mo-br100
riskiyah,3.0,sebulan lalu,mie nya si enak tapi layanannya kurang waktu take away nama nya riskia pas dipanggil riska mana dipanggilnya 3x tetep riska,https://lh3.googleusercontent.com/a/ACg8ocKSaY9SHxbdGegqayP7y-YKTgenb0AGp5xoxuIEvEkNIFGXtw=w36-h36-p-rp-mo-br100
Evie Rahayu,5.0,3 bulan lalu,"pelayanan memuaskan ,makanan mantul enak betul",https://lh3.googleusercontent.com/a/ACg8ocIkBGt3u7RF724UVFCyItsfhwvfbGa1sC_3u7PggXn4eFYkaw=w36-h36-p-rp-mo-br100
Muhammad Nashiruddin Al-haq,1.0,4 bulan lalu,"Mienya gacoannya warna nya lebih pucat dan rasanya agak hambar, beda pas di gacoan yang lama, terus pelayanannya lama hampir sejam baru diantar padahal jam 2 pagi.",https://lh3.googleusercontent.com/a-/ALV-UjWQmq_p7OsLZZSN8x-b5Sck8sWjTAQStNrMvmykEaRnOtEwf-lt=w36-h36-p-rp-mo-br100
Saputra Angga,4.0,sebulan lalu,"Tempat yang sekarang lebih lebar, jadi bisa menampung pembeli lebih banyak, dan mengurangi antrian yang mengular",https://lh3.googleusercontent.com/a-/ALV-UjVxmIYaOM0-ZKAIvP5LTlDXtKMvZORqCM2IKAyLcbhIabn2buwT=w36-h36-p-rp-mo-ba3-br100
Okta Via,5.0,sebulan lalu,GONG BANGET GACOAN JEMBER INI SEMENTARA MEMEGANG KASTA GACOAN TERBAIK SEJAUH INIIIII BESTT BBGT DI ANTARA GACOAN YANGG LAINNNN KEK TEMPAT  BAGUS MAKANAN ENAKKK PELAYANAN OKEEEEEEEEEE,https://lh3.googleusercontent.com/a/ACg8ocJZFZcf8qdWP4-yYQO452kpn9Edm_OEsyGoNq4eE-jzJa6l=w36-h36-p-rp-mo-br100
DENI ALAM,5.0,4 bulan lalu,"Kualitas makanan baik, rasa enak, variasi menu beragam dan cukup banyak, pelayanan cepat, tempatnya luas, harga terjangkau.",https://lh3.googleusercontent.com/a/ACg8ocIk-A9ULePO3-xJLx2TZr7XARoUSK38FmpoucVZigrUvEEqozE=w36-h36-p-rp-mo-br100
Tri Jenica Retno Dewi,5.0,Diedit 3 bulan lalu,"udh sring bgt ke gacoan yg lama, tp ini first time ke gacoan yg baru di jl pb Sudirman. tempatnya makin luas, trs waiters nya ramah bgt, sopan santun + gercepp bantu. mulai dari di gacoan yg lama smpe pindah tempat ini baru smpet tnya namanya, namanya kak teguh",https://lh3.googleusercontent.com/a-/ALV-UjV8FX7dFixigWtPZ3tCs8o1YiOBKPeoOY1DFd3CghcFoYJqnpyw=w36-h36-p-rp-mo-br100
Karen Auxia,5.0,sebulan lalu,"the Bess bangett, pelayanannya ramah baik cepat bngtt, sukakkk dehh",https://lh3.googleusercontent.com/a/ACg8ocLThNlvYLfxjxySSPUPZlcpkDKSveZRa-whaJGhS23nQ5GatQ=w36-h36-p-rp-mo-br100
Ria Dewi,5.0,2 bulan lalu,"Baru pertama ke GACOAN Jember
rame sekalii
Untuk rasa semua gacoan sama ya …",https://lh3.googleusercontent.com/a-/ALV-UjU6pVIGu4sMS3Ix-jBcjesSMeEmNX0GXKXRtSP6YPuOnVvNWXM=w36-h36-p-rp-mo-br100
Alina Amaliaa,5.0,5 bulan lalu,"tempatnya luas sekali, pelayanannya ramah, makanannya worth it bangett cocok buat pelajar/mahasiswa dll, cocok buat acara reservasi",https://lh3.googleusercontent.com/a-/ALV-UjX7exa3tMGdwoH3bJbdd3Cl_AXE9CxNJdbZibicwa3661jPkrQ=w36-h36-p-rp-mo-br100
